Q100,BDF,DA,IA,L,RI22,RQ100,S
1930,5,2.13,17.5,2.27,1.9,1169,147
3580,11,1.36,31.4,1.98,1.9,876,90
3350,4,2.46,15,2.91,1.9,1283,156
786,4,1.04,14.3,1.67,1.9,737,352
3000,6,8.26,3,6.56,1.9,2795,28
700,9,0.52,20,1.07,1.9,472,70
2200,9,2.72,15,2.66,1.9,1368,41
1200,5,0.89,12,1.62,1.9,667,88
1450,9,0.55,37,1.1,1.9,490,143
1700,7,0.59,28,1.27,1.9,512,156
834,3,2.75,4.7,2.56,2.1,1378,36
800,3,0.98,10.4,1.06,2.1,710,64
351,6,0.19,34.2,0.6,2.1,247,127
495,10,0.27,54.6,0.61,2.1,310,162
176,9,0.08,41.7,0.55,2.1,142,121
377,3,1.09,3.85,1.98,2.1,760,89
1150,8,1.27,32.4,1.93,2.1,838,80
675,7,0.66,10.3,1.42,2.1,550,60
457,4,0.64,19.4,0.89,2.2,89.6,27
726,11,0.82,48,1,2.2,108,20
1120,6,2.74,26.2,3.6,2.2,272,14
412,8,0.64,27,1.81,2.2,89.6,30
48,4,0.04,12,0.11,2.2,10.8,375
1520,4,2.17,30,3.26,2.3,960,11
1250,5,7.92,11,4.92,2.1,1826,11
1310,2,9.1,2,4.85,2.3,1957,9
1700,3,1.98,6,1.82,2.6,917,15
8990,9,30.5,20,11.2,1.9,6470,13.7
10300,9,41,22,11,1.9,7830,13.1
7390,7,38.3,10,8.72,1.9,7490,12.2
2160,9,6.98,12,5.2,1.9,2510,20.9
4790,4,31.8,13,9.4,1.9,6650,17.7
